Date,Year,Event,Event description,Period_ID,SongID,EventID
1945-05-05 00:00:00.000,"- 1945","The Battle of Castle Itter","An American Army captain, a Waffen SS officer and a German Army Major made a plan to rescue and defend French hostages from loyal Nazis at Castle Itter in Austria. All of the hostages survived the battle, thanks to one of the least likely alliances of World War II.",7,57,46
1941-05-27 00:00:00.000,"- 1941","Bismarck sinks","Disregarding a treaty formed in WWI, Hitler sends Bismarck, Germany's mightiest battleship, on a secret mission to the Atlantic. Following a merciless battle with the British navy, it sinks on May 27, 1941. Out of more than 2,000, only 115 of its crew survive.",7,47,55
1920-11-11 00:00:00.000,"- 1920","Burial of British Unknown Warrior","On Armistice Day in 1920, an unknown British soldier was symbolically buried to commemorate those who lost their lives during World War I. These soldiers were never identified or laid to rest. Each year, the site attracts thousands of pilgrims and tourists.",5,50,51
1918-09-26 00:00:00.000,"- 1918","Start of Meuse-Argonne Offensive","In October 1918 during the Meuse-Argonne Offensive, 554 all-American soldiers, who were part of the 77th Division, were completely surrounded by the German army. Known as ‘The Lost Battalion’, the soldiers were also subjected to friendly fire. Only 194 of them made it out alive.",5,51,52
1948-05-25 00:00:00.000,"- 1948","Witold Pilecki executed","This extraordinary Polish soldier bravely entered Auschwitz to gather intelligence, becoming Inmate 4859. He escaped two years later and went on to fight in the Warsaw Uprising, but was later executed for spying by Poland’s new communist government.",7,63,53
1971-05-28 00:00:00.000,"- 1971","Audie Murphy dies","After lying about his age to enlist, Audie Murphy became one of the most decorated US soldiers of WWII. He went on to act in Hollywood, but died in a plane crash aged just 45. His grave at Arlington Cemetery is the most visited after John F Kennedy’s.",7,64,56
1951-08-25 00:00:00.000,"- 1951","‘Metal God’ Rob Halford was born","Rob Halford is the vocalist of the legendary heavy metal band, Judas Priest. The band has left an unforgettable stamp on the history of Heavy Metal and continues touring and rocking to this day.",,59,106
1943-12-20 00:00:00.000,"- 1943","The Charlie Brown and Franz Stigler incident","Following the bombing of the city of Bremen, Germany, Charlie Brown's B-17 bomber, ‘Ye Old Pub’, has suffered heavy damage. As he and his men scramble to get back to England, German fighter ace Franz Stigler begins his attack but shows them mercy.",7,61,92
1942-06-04 00:00:00.000,"- 1942","Battle of Midway starts","Six months after the attack on Pearl Harbor, the US Navy delivered a decisive defeat to Japan in a four-day battle near Midway Atol in the Pacific. The battle severely weakened Japan’s navy and is considered a turning point in WWII in the Pacific.",7,98,62
1943-07-30 00:00:00.000,"- 1943","Leslie “Bull” Allen rescues US soldiers","Leslie “Bull” Allen was an Australian soldier who was awarded the US Silver Star for single-handedly rescuing 12 injured Americans at the battle of Mount Tambu in 1943, carrying each man out of the line of fire on his shoulders before returning for the next.",7,65,78
1965-10-18 00:00:00.000,"- 1965","Lauri Allan Törni dies","Lauri Törni served for three armies during his remarkable military career: first for his birth country of Finland, then he joined the Nazi SS to fight against the Soviets, and finally, he emigrated to the USA to fight for the American Army. He died in a helicopter crash in Vietnam.",7,67,93
1971-10-27 00:00:00.000,"- 1971","Karel Janoušek dies","Karel Janoušek was an heroic Czech airman who played a key role in the Battle of Britain, only to be imprisoned in his own country after the war. Our song Far From the Fame commemorates Janoušek and the sacrifices he made.",7,68,95
1940-07-10 00:00:00.000,"- 1940","Battle of Britain starts","The Battle of Britain was the first major campaign fought entirely by air forces, in which the Royal Air Force defended the island against the Luftwaffe. Despite the name, almost one in five fighter pilots who flew for Britain were from overseas.",7,102,72
1944-08-01 00:00:00.000,"- 1944","Warsaw Uprising begins","The Warsaw Uprising was a major insurrection by the Polish Resistance, taking place from August 1st to October 2nd 1944. Trying to liberate the city from its German oppressors, the Uprising symbolises the bravery of the Polish people.",7,99,81
