Concert,Date,Venue,Location,Index
"Sabaton",2025-12-05 00:00:00.000,"Co-op Live","Manchester, England, United Kingdom",2036
"Sabaton",2025-12-06 00:00:00.000,"Motorpoint Arena Nottingham","Nottingham, England, United Kingdom",2035
"Sabaton",2024-10-31 00:00:00.000,"Private Venue","Toronto, Ontario, Canada",2033
"Sabaton",2024-12-11 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",2032
"Sabaton",2024-12-12 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",2031
"Sabaton",2025-05-03 00:00:00.000,"Memorial da América Latina","São Paulo, São Paulo, Brazil",2026
"Sabaton",2025-05-09 00:00:00.000,"Royal Center","Bogotá, Bogota D.C., Colombia",2024
"Sabaton",2025-09-01 00:00:00.000,"Metro City Concert Club","Perth, Western Australia, Australia",2014
"Sabaton",2025-09-06 00:00:00.000,"Hordern Pavilion","Sydney, New South Wales, Australia",2010
"Sabaton",2025-09-09 00:00:00.000,"The Powerstation","Auckland, Auckland, New Zealand",2008
"Sabaton",2024-10-11 00:00:00.000,"Showcase Cinema","Southampton, England, United Kingdom",1991
"Sabaton",2024-10-11 00:00:00.000,"Ziggo Dome","Amsterdam, North Holland, Netherlands",1990
"Sabaton",2023-05-19 00:00:00.000,"Helsingin Jäähalli","Helsinki, Uusimaa, Finland",1945
"Sabaton",2023-05-20 00:00:00.000,"Kuopio Halli","Kuopio, Finland",1943
"Sabaton",2023-06-09 00:00:00.000,"Greenfield Festival 2023","Interlaken, Bern, Switzerland",1939
"Sabaton",2023-12-13 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",1937
"Sabaton",2023-12-14 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",1936
"Sabaton",2023-12-26 00:00:00.000,"Tegeraarena","Leksand, Sweden",1935
"Sabaton",2023-02-19 00:00:00.000,"Filmstudion","Gothenburg, Västra Götaland, Sweden",1927
"Sabaton",2023-02-21 00:00:00.000,"Fortnox Arena","Växjö, Sweden",1926
"Sabaton",2023-02-23 00:00:00.000,"Ystad Arena","Ystad, Sweden",1925
"Sabaton",2023-02-24 00:00:00.000,"Olsbergs Arena","Eksjö, Sweden",1924
"Sabaton",2023-04-21 00:00:00.000,"La Seine Musicale","Boulogne-Billancourt, Île-de-France, France",1918
"Sabaton",2023-04-22 00:00:00.000,"Festhalle Ludwig-Erhard-Anlage 1, 60327 Frankfurt","Frankfurt am Main, Hesse, Germany",1916
"Sabaton",2022-12-14 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",1888
"Sabaton",2022-12-15 00:00:00.000,"Tallink Silja Baltic Queen","Stockholm, Stockholm, Sweden",1887
"Sabaton",2023-01-27 00:00:00.000,"Sporthallen","Övertorneå, Sweden",1886
"Sabaton",2023-01-28 00:00:00.000,"Arena Arctica","Kiruna, Sweden",1885
"Sabaton",2023-01-31 00:00:00.000,"Idre Fjäll Arena","Mora, Sweden",1884
"Sabaton",2023-02-02 00:00:00.000,"ICA Maxi Arena","Visby, Sweden",1883
"Sabaton",2023-02-05 00:00:00.000,"Agnebergshallen","Uddevalla, Sweden",1881
"Sabaton",2023-02-06 00:00:00.000,"Parkhallen","Arvika, Värmland, Sweden",1880
"Sabaton",2023-02-10 00:00:00.000,"Estrad","Alingsås, Sweden",1878
"Sabaton",2023-02-11 00:00:00.000,"Västerås Arena","Västerås, Sweden",1877
"Sabaton",2023-02-13 00:00:00.000,"Brinova Arena","Karlskrona, Sweden",1876
"Sabaton",2023-02-14 00:00:00.000,"Söderslättshallen","Trelleborg, Sweden",1875
"Sabaton",2023-02-15 00:00:00.000,"Vara Konserthus","Vara, Sweden",1874
"Sabaton",2023-02-17 00:00:00.000,"Tjolöholms slott","Kungsbacka, Sweden",1873
"Sabaton",2022-10-03 00:00:00.000,"Ryman Auditorium","Nashville, Tennessee, United States",1863
"Sabaton",2022-07-16 00:00:00.000,"Metal Paradise 2022","Fuengirola, Spain",1849
"Sabaton",2022-07-15 00:00:00.000,"Metal Paradise 2022","Fuengirola, Spain",1849
"Sabaton",2022-07-23 00:00:00.000,"Rowing Canal","Plovdiv, Plovdiv, Bulgaria",1844
"Sabaton",2022-08-06 00:00:00.000,"Lugnet","Falun, Dalarna, Sweden",1840
"Sabaton",2022-08-19 00:00:00.000,"Open Air Theatre","Opatija, Croatia",1838
"Sabaton",2022-08-20 00:00:00.000,"Barba Negra","Budapest, Budapest, Hungary",1837
"Sabaton",2022-08-24 00:00:00.000,"AXA Aréna NTC","Bratislava, Bratislava, Slovak Republic",1835
"Sabaton",2022-05-02 00:00:00.000,"UKK","Uppsala, Uppsala, Sweden",1827
"Sabaton",2022-05-03 00:00:00.000,"Flygeln","Norrköping, Östergötland, Sweden",1826
"Sabaton",2022-05-04 00:00:00.000,"Apollon, Folkets Hus Kulturhuset","Trollhättan, Sweden",1825
"Sabaton",2022-05-06 00:00:00.000,"Nöjesfabriken","Karlstad, Värmland, Sweden",1824
"Sabaton",2022-05-07 00:00:00.000,"Arenan Älmhults Handelsplats","Älmhult, Sweden",1823
"Sabaton",2022-05-08 00:00:00.000,"Klubb Ron","Ronneby, Sweden",1822
"Sabaton",2022-05-10 00:00:00.000,"Bellevueparken","Karlshamn, Sweden",1821
"Sabaton",2022-05-11 00:00:00.000,"Lokomotivet","Eskilstuna, Södermanland, Sweden",1820
"Sabaton",2022-05-13 00:00:00.000,"Aveny","Sundsvall, Sweden",1819
"Sabaton",2022-05-14 00:00:00.000,"Sara Kulturhus","Skellefteå, Sweden",1818
"Sabaton",2022-06-29 00:00:00.000,"Allmend","Frauenfeld, TG, Switzerland",1794
"Sabaton",2022-04-07 00:00:00.000,"Conventum Kongress","Örebro, Örebro, Sweden",1787
"Sabaton",2022-04-08 00:00:00.000,"Kuopio Hall","Kuopio, Finland",1786
"Sabaton",2022-04-09 00:00:00.000,"Hartwall Arena","Helsinki, Uusimaa, Finland",1785
"Sabaton",2022-04-10 00:00:00.000,"Slagthuset","Malmo, Skåne, Sweden",1784
"Sabaton",2022-04-13 00:00:00.000,"Gasklockorna","Gävle, Gävleborg, Sweden",1782
"Sabaton",2022-04-14 00:00:00.000,"Magasinet Falun","Falun, Dalarna, Sweden",1781
"Sabaton",2022-04-15 00:00:00.000,"Quality Hotel Galaxen","Borlänge, Sweden",1780
"Sabaton",2022-04-17 00:00:00.000,"Kristianstad Arena","Kristianstad, Sweden",1779
"Sabaton",2022-04-18 00:00:00.000,"Gummifabriken","Värnamo, Sweden",1778
"Sabaton",2022-04-21 00:00:00.000,"Åhaga","Borås, Sweden",1776
"Sabaton",2022-04-22 00:00:00.000,"Arena Varberg","Varberg, Sweden",1775
"Sabaton",2022-04-23 00:00:00.000,"Folkets Park","Huskvarna, Sweden",1774
"Sabaton",2022-04-26 00:00:00.000,"Råda Rum","Mölndal, Sweden",1772
"Sabaton",2022-04-29 00:00:00.000,"Idun Umeå Folkets Hus","Umeå, Sweden",1770
"Sabaton",2022-04-30 00:00:00.000,"Kongressen","Piteå, Sweden",1769
"Sabaton",2022-03-05 00:00:00.000,"Ericsson Globe","Stockholm, Stockholm, Sweden",1756
"Sabaton",2022-03-11 00:00:00.000,"Mercedes-Benz Arena","Berlin, Berlin, Germany",1754
"Sabaton",2022-03-22 00:00:00.000,"OVO Hydro","Glasgow, Scotland, United Kingdom",1750
"Sabaton",2021-12-15 00:00:00.000,"Gamla Torget","Norrköping, Östergötland, Sweden",1745
"Sabaton",2021-07-09 00:00:00.000,"Petrovaradin","Novi Sad, Vojvodina, Serbia",1726
"Sabaton",2021-08-21 00:00:00.000,"Rock Castle Festival (CZ) 2021","Moravský Krumlov, Czech Republic",1723
"Sabaton",2021-08-19 00:00:00.000,"Rock Castle Festival (CZ) 2021","Moravský Krumlov, Czech Republic",1723
"Sabaton",2021-09-29 00:00:00.000,"The Ogden Theatre","Denver, Colorado, United States",1695
"Sabaton",2021-09-29 00:00:00.000,"The Ogden Theater","Denver, Colorado, United States",1694
"Sabaton",2020-10-29 00:00:00.000,"","",1692
"Sabaton",2020-11-07 00:00:00.000,"Galaktika Razvlecheniy","Chelyabinsk, Russian Federation",1691
"Sabaton",2020-11-08 00:00:00.000,"Tele-club","Yekaterinburg, Russian Federation",1690
"Sabaton",2020-11-12 00:00:00.000,"Youtube","ONLINE",1689
"Sabaton",2020-11-19 00:00:00.000,"","",1688
"Sabaton",2020-11-21 00:00:00.000,"Krop Arena / Кроп Арена","Krasnodar, Russian Federation",1687
"Sabaton",2021-01-22 00:00:00.000,"Nöjesfabriken","Karlstad, Värmland, Sweden",1686
"Sabaton",2021-01-23 00:00:00.000,"Conventum Kongress","Örebro, Örebro, Sweden",1685
"Sabaton",2021-01-25 00:00:00.000,"Idun Folkets Hus","Umeå, Sweden",1684
"Sabaton",2021-01-26 00:00:00.000,"Folkets Hus","Östersund, Sweden",1683
